color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,martin scorsese,240,116866727.0,biography|comedy|crime|drama,The Wolf of Wall Street,2013,english,usa,100000000.0,8.2,"leonardo dicaprio,matthew mcconaughey,jon favreau",138000
color,shane black,195,408992272.0,action|adventure|sci-fi,Iron Man 3,2013,english,usa,200000000.0,7.2,"robert downey jr.,jon favreau,don cheadle",95000
color ,quentin tarantino,187,54116191.0,crime|drama|mystery|thriller|western,The Hateful Eight,2015,english,usa,44000000.0,7.9,"craig stark,jennifer jason leigh,zoë bell",114000
color,kenneth lonergan,186,46495.0,drama,Margaret,2011,english,usa,14000000.0,6.5,"matt damon,kieran culkin,john gallagher jr.",0
color,peter jackson,186,258355354.0,adventure|fantasy,The Hobbit: The Desolation of Smaug,2013,english,usa,225000000.0,7.9,"aidan turner,adam brown,james nesbitt",83000
color,ridley scott,183,330249062.0,action|adventure|sci-fi,Batman v Superman: Dawn of Justice,202,english,usa,250000000.0,6.9,"henry cavill,lauren cohan,alan d. purwin",197000
color,edward hall,180,154191431.2747253,drama|romance,Restless,2012,english,uk,104857024.73684211,7.2,"rufus sewell,hayley atwell,charlotte rampling",434
color,joss whedon,173,623279547.0,action|adventure|sci-fi,The Avengers,2012,english,usa,220000000.0,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,joss whedon,173,623279547.0,action|adventure|sci-fi,The Avengers,2012,english,usa,220000000.0,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,null,158,102515793.0,crime|drama|mystery|thriller,The Girl with the Dragon Tattoo,2011,english,usa,90000000.0,7.8,"robin wright,goran visnjic,joely richardson",54000
color,christopher spencer,170,59696176.0,action|adventure|sci-fi,Son of God,2014,english,usa,22000000.0,5.6,"roma downey,amber rose revah,darwin shaw",15000
color,christopher nolan,169,187991439.0,adventure|drama|sci-fi,Interstellar,2014,english,usa,165000000.0,8.6,"matthew mcconaughey,anne hathaway,mackenzie foy",349000
color,f. gary gray,167,161029270.0,biography|crime|drama|history|music,Straight Outta Compton,2015,english,usa,28000000.0,7.9,"aldis hodge,neil brown jr.,r. marcos taylor",76000
color,richard linklater,165,25359200.0,drama,Boyhood,2014,english,usa,4000000.0,8.0,"ellar coltrane,lorelei linklater,libby villari",92000
color,quentin tarantino,580,162804648.0,drama|western,Django Unchained,2012,english,usa,100000000.0,8.5,"leonardo dicaprio,christoph waltz,ato essandoh",199000
color,michael bay,165,245428137.0,action|adventure|sci-fi,Transformers: Age of Extinction,2014,english,usa,210000000.0,5.7,"bingbing li,sophia myles,kelsey grammer",56000
color,christopher nolan,164,448130642.0,action|thriller,The Dark Knight Rises,2012,english,usa,250000000.0,8.5,"tom hardy,christian bale,joseph gordon-levitt",164000
color,peter jackson,164,255108370.0,adventure|fantasy,The Hobbit: The Battle of the Five Armies,2014,english,new zealand,250000000.0,7.5,"aidan turner,adam brown,james nesbitt",65000
color,tom hooper,158,148775460.0,drama|musical|romance,Les Misérables,2012,english,usa,61000000.0,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
color,tom hooper,158,148775460.0,drama|musical|romance,Les Misérables,2012,english,usa,61000000.0,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
color,kathryn bigelow,157,95720716.0,drama|history|thriller,Zero Dark Thirty,2012,english,usa,40000000.0,7.4,"jennifer ehle,harold perrineau,parker sawyers",39000
color,ridley scott,156,105219735.0,action|adventure|drama|history,Robin Hood,2010,english,usa,200000000.0,6.7,"mark addy,william hurt,scott grimes",17000
color,ridley scott,156,183635922.0,adventure|drama|thriller|western,The Revenant,2015,english,usa,135000000.0,8.1,"leonardo dicaprio,tom hardy,lukas haas",190000
color,michael bay,154,352358779.0,action|adventure|sci-fi,Transformers: Dark of the Moon,2011,english,usa,195000000.0,6.3,"glenn morshower,lester speight,kevin dunn",46000
color,denis villeneuve,153,60962878.0,crime|drama|mystery|thriller,Prisoners,2013,english,usa,46000000.0,8.1,"hugh jackman,jake gyllenhaal,dylan minnette",86000
color,gnana rajasekaran,153,154191431.2747253,biography|drama|history,Ramanujan,2014,english,india,104857024.73684211,7.0,"mani bharathi,michael lieber,kevin mcgowan",58
color,marc webb,153,262030663.0,action|adventure|fantasy,The Amazing Spider-Man,2012,english,usa,230000000.0,7.0,"emma stone,andrew garfield,chris zylka",56000
color,nan,151,228430993.0,adventure|drama|sci-fi,The Martian,2015,english,usa,108000000.0,8.1,"matt damon,donald glover,benedict wong",153000
color,ridley scott,150,65007045.0,action|adventure|drama,Exodus: Gods and Kings,2014,english,uk,140000000.0,6.1,"christian bale,maría valverde,ben mendelsohn",51000
color,ridley scott,150,65007045.0,action|adventure|drama,Exodus: Gods and Kings,2014,english,uk,140000000.0,6.1,"christian bale,maría valverde,ben mendelsohn",51000
color,ridley scott,150,182204440.0,biography|drama|history|war,Lincoln,2012,english,usa,65000000.0,7.4,"joseph gordon-levitt,hal holbrook,bruce mcgill",71000
color,mike leigh,150,3958500.0,biography|drama|history,Mr. Turner,2014,english,uk,104857024.73684211,6.8,"lesley manville,ruth sheen,karl johnson",0
color,gore verbinski,650,89289910.0,action|adventure|western,The Lone Ranger,2013,english,usa,215000000.0,6.5,"johnny depp,ruth wilson,tom wilkinson",48000
color,david fincher,149,167735396.0,crime|drama|mystery|thriller,Gone Girl,2014,english,usa,61000000.0,8.1,"patrick fugit,sela ward,emily ratajkowski",146000
color,bryan singer,149,233914986.0,action|adventure|fantasy|sci-fi|thriller,X-Men: Days of Future Past,2014,english,united states,200000000.0,8.0,"jennifer lawrence,peter dinklage,hugh jackman",82000
color,jay oliva,148,154191431.2747253,action|animation|crime|sci-fi|thriller,"Batman: The Dark Knight Returns, Part 2",2013,english,usa,3500000.0,8.4,"michael emerson,mark valley,grey griffin",5000
color,christopher nolan,148,292568851.0,action|adventure|sci-fi|thriller,Inception,2010,english,usa,160000000.0,8.8,"leonardo dicaprio,tom hardy,joseph gordon-levitt",175000
color,paul thomas anderson,148,8093318.0,comedy|crime|drama|mystery|romance,Inherent Vice,2014,english,usa,20000000.0,6.7,"martin dew,katherine waterston,serena scott thomas",18000
color,sam mendes,148,200074175.0,action|adventure|thriller,Spectre,2015,english,uk,245000000.0,6.8,"christoph waltz,rory kinnear,stephanie sigman",85000
color,ridley scott,147,407197282.0,action|adventure|sci-fi,Captain America: Civil War,2016,english,usa,250000000.0,8.2,"robert downey jr.,scarlett johansson,chris evans",72000
color,michael patrick king,146,95328937.0,comedy|drama|romance,Sex and the City 2,2010,english,usa,100000000.0,4.3,"chris noth,liza minnelli,kristin davis",0
color,tate taylor,146,169705587.0,drama,The Help,2011,english,usa,25000000.0,8.1,"emma stone,bryce dallas howard,mike vogel",75000
color,francis lawrence,146,424645577.0,adventure|sci-fi|thriller,The Hunger Games: Catching Fire,2013,english,usa,130000000.0,7.6,"jennifer lawrence,josh hutcherson,sandra ellis lafferty",82000
 black and white,steven spielberg,146,79883359.0,drama|war,War Horse,2011,english,usa,66000000.0,7.2,"jeremy irvine,benedict cumberbatch,eddie marsan",28000
color,michael bay,144,52822418.0,action|drama|thriller|war,13 Hours,2016,english,usa,50000000.0,7.4,"toby stephens,james badge dale,david costabile",44000
color,guillaume canet,144,41229.0,crime|drama|thriller,Blood Ties,2013,english,france,25500000.0,6.5,"mila kunis,lili taylor,billy crudup",0
color,paul thomas anderson,144,16377274.0,drama,The Master,2012,english,usa,32000000.0,7.1,"mike howard,jeffrey w. jenkins,bruce goodchild",27000
color,bryan singer,144,154985087.0,action|adventure|sci-fi,X-Men: Apocalypse,2016,english,usa,178000000.0,7.3,"jennifer lawrence,michael fassbender,tye sheridan",54000
color,adam mckay,143,2175312.0,comedy,Anchorman 2: The Legend Continues,2013,english,usa,50000000.0,6.3,"harrison ford,will ferrell,steve carell",41000
color,zack snyder,143,291021565.0,action|adventure|fantasy|sci-fi,Man of Steel,2013,english,usa,225000000.0,7.2,"henry cavill,christopher meloni,harry lennix",118000
color,sam mendes,143,304360277.0,action|adventure|thriller,Skyfall,2012,english,uk,200000000.0,7.8,"albert finney,helen mccrory,rory kinnear",80000
color,sam mendes,143,304360277.0,action|adventure|thriller,Skyfall,2012,english,uk,200000000.0,7.8,"albert finney,helen mccrory,rory kinnear",80000
color,baz luhrmann,143,144812796.0,drama|romance,The Great Gatsby,2013,english,australia,105000000.0,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
color,baz luhrmann,143,144812796.0,drama|romance,The Great Gatsby,2013,english,australia,105000000.0,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
color,ridley scott,143,154191431.2747253,drama|horror|thriller,The Ridges,2011,english,usa,17350.0,3.0,"robbie barnes,alana kaniewski,brandon landers",33
color,steven spielberg,142,72306065.0,drama|history|thriller,Bridge of Spies,2015,english,usa,40000000.0,7.6,"tom hanks,mark rylance,amy ryan",55000
color,marc webb,142,202853933.0,action|adventure|fantasy|sci-fi,The Amazing Spider-Man 2,2014,english,usa,200000000.0,6.7,"emma stone,andrew garfield,b.j. novak",41000
color,ridley scott,142,407999255.0,adventure|drama|sci-fi|thriller,The Hunger Games,2012,english,usa,78000000.0,7.3,"jennifer lawrence,josh hutcherson,anthony reynolds",140000
color,joss whedon,141,458991599.0,action|adventure|sci-fi,Avengers: Age of Ultron,2015,english,usa,250000000.0,7.5,"chris hemsworth,robert downey jr.,scarlett johansson",118000
color,timur bekmambetov,141,154191431.2747253,adventure|drama|history,Ben-Hur,2016,english,usa,100000000.0,6.1,"morgan freeman,ayelet zurer,moises arias",0
color,timur bekmambetov,141,154191431.2747253,adventure|drama|history,Ben-Hur,2016,english,usa,100000000.0,6.0,"morgan freeman,ayelet zurer,moises arias",0
color,timur bekmambetov,141,154191431.2747253,adventure|drama|history,Ben-Hur,2016,english,usa,100000000.0,6.1,"morgan freeman,ayelet zurer,moises arias",0
color,justin chadwick,141,8324748.0,biography|drama|history,Mandela: Long Walk to Freedom,2013,english,uk,35000000.0,7.1,"terry pheto,fana mokoena,tony kgoroge",13000
color,oliver stone,141,47307550.0,crime|drama|thriller,Savages,2012,english,usa,45000000.0,6.5,"demián bichir,shea whigham,gary stretch",28000
color,david dobkin,141,47105085.0,crime|drama,The Judge,2014,english,usa,50000000.0,7.4,"robert downey jr.,robert duvall,leighton meester",47000
color,ryan murphy,140,80574010.0,drama|romance,Eat Pray Love,2010,english,usa,60000000.0,5.7,"james franco,julia roberts,billy crudup",26000
color,james wan,140,350034110.0,action|crime|thriller,Furious 7,2015,english,usa,190000000.0,7.2,"jason statham,paul walker,vin diesel",94000
color,derek cianfrance,140,21383298.0,crime|drama|thriller,The Place Beyond the Pines,2012,english,usa,15000000.0,7.3,"ryan gosling,ben mendelsohn,angelo anthony pizza",47000
color,gavin o'connor,140,13651662.0,drama|sport,Warrior,2011,english,usa,25000000.0,8.2,"tom hardy,frank grillo,kevin dunn",77000
color,ridley scott,139,150832203.0,adventure|mystery|sci-fi,Divergent,2014,english,usa,85000000.0,6.7,"kate winslet,theo james,mekhi phifer",49000
color,gary ross,139,20389967.0,action|biography|drama|history|war,Free State of Jones,2016,english,usa,50000000.0,6.7,"matthew mcconaughey,donald watkins,jessica collins",10000
color,tate taylor,139,30513940.0,biography|drama|music,Get on Up,2014,english,usa,30000000.0,6.9,"tika sumpter,josh hopkins,aunjanue ellis",11000
color,terrence malick,139,13303319.0,drama|fantasy,The Tree of Life,2011,english,usa,32000000.0,6.7,"brad pitt,tye sheridan,fiona shaw",39000
color,ridley scott,138,150117807.0,crime|drama,American Hustle,2013,english,usa,40000000.0,7.3,"jennifer lawrence,christian bale,bradley cooper",63000
color,robert zemeckis,138,93749203.0,drama|thriller,Flight,2012,english,usa,31000000.0,7.3,"denzel washington,bruce greenwood,nadine velazquez",64000
color,darren aronofsky,138,101160529.0,action|adventure|drama,Noah,2014,english,usa,125000000.0,5.8,"anthony hopkins,emma watson,logan lerman",71000
color,martin scorsese,138,127968405.0,mystery|thriller,Shutter Island,2010,english,usa,80000000.0,8.1,"leonardo dicaprio,joseph sikora,nellie sciutto",53000
color,ridley scott,138,16969390.0,crime|drama|thriller,The Counselor,2013,english,usa,25000000.0,5.3,"michael fassbender,brad pitt,goran visnjic",24000
color,james mangold,138,132550960.0,action|adventure|sci-fi|thriller,The Wolverine,2013,english,usa,120000000.0,6.7,"hugh jackman,tao okamoto,rila fukushima",68000
color,daniel espinosa,137,1206135.0,crime|drama|thriller,Child 44,205,english,czech republic,50000000.0,6.4,"tom hardy,fares fares,michael nardone",18000
color,ridley scott,137,37304950.0,biography|crime|drama,J. Edgar,2011,english,usa,35000000.0,6.6,"leonardo dicaprio,naomi watts,kaitlyn dever",16000
color,walter salles,137,717753.0,adventure|drama,On the Road,2012,english,france,25000000.0,6.1,"kristen stewart,viggo mortensen,kirsten dunst",27000
color,ridley scott,137,281666058.0,adventure|sci-fi,The Hunger Games: Mockingjay - Part 2,2015,english,usa,160000000.0,6.6,"jennifer lawrence,philip seymour hoffman,josh hutcherson",38000
color,angelina jolie pitt,137,115603980.0,biography|drama|sport|war,Unbroken,2014,english,usa,65000000.0,7.2,"finn wittrock,jack o'connell,alex russell",35000
color,seth macfarlane,136,42615685.0,comedy|western,A Million Ways to Die in the West,2014,english,usa,40000000.0,6.1,"liam neeson,charlize theron,seth macfarlane",24000
color,anthony russo,136,259746958.0,action|adventure|sci-fi,Captain America: The Winter Soldier,2014,english,usa,170000000.0,7.8,"scarlett johansson,chris evans,hayley atwell",55000
color,rob marshall,136,241063875.0,action|adventure|fantasy,Pirates of the Caribbean: On Stranger Tides,2011,english,usa,250000000.0,6.7,"johnny depp,sam claflin,stephen graham",58000
color,adam shankman,136,38509342.0,comedy|drama|musical|romance,Rock of Ages,2012,english,usa,75000000.0,5.9,"james martin kelly,shane hartline,celina beach",33000
color,ridley scott,136,52474616.0,drama,Wall Street: Money Never Sleeps,2010,english,usa,70000000.0,6.3,"frank langella,austin pendleton,john buffalo mailer",13000
color,sadyk sher-niyaz,135,154191431.2747253,action|biography|drama|history,Queen of the Mountains,2014,english,kyrgyzstan,1400000.0,8.7,"elina abai kyzy,aziz muradillayev,mirlan abdulayev",0
color,tony gilroy,135,113165635.0,action|adventure|thriller,The Bourne Legacy,2012,english,usa,125000000.0,6.7,"jeremy renner,scott glenn,stacy keach",31000
color,steve mcqueen,134,56667870.0,biography|drama|history,12 Years a Slave,2013,english,usa,20000000.0,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000
color,richard j. lewis,134,7501404.0,comedy|drama,Barney's Version,2010,english,canada,104857024.73684211,7.3,"mark addy,atom egoyan,paul gross",0
color,paul greengrass,134,107100855.0,biography|drama|thriller,Captain Phillips,2013,english,usa,55000000.0,7.9,"tom hanks,chris mulkey,michael chernus",65000
color,david ayer,134,85707116.0,action|drama|war,Fury,2014,english,usa,68000000.0,7.6,"brad pitt,logan lerman,jim parrack",82000
color,clint eastwood,5,47034272.0,biography|drama|music|musical,Jersey Boys,2014,english,usa,40000000.0,6.9,"johnny cannizzaro,steve schirripa,scott vance",16000
